Top_RGB_Cluster,Representative_Color,Bottom_RGB_List
56,"(27, 30, 27)","[(93, 91, 85), (97, 106, 103), (44, 45, 33), (70, 78, 74), (39, 38, 38), (156, 161, 155), (41, 45, 44), (50, 54, 54), (58, 63, 58), (58, 56, 47), (79, 82, 75), (162, 168, 168), (38, 42, 40)]"
57,"(94, 100, 99)","[(197, 191, 173), (58, 62, 63), (67, 80, 84), (65, 77, 88), (200, 183, 166), (32, 35, 37)]"
58,"(109, 98, 81)","[(19, 46, 96), (139, 103, 79), (148, 135, 113)]"
59,"(60, 43, 23)","[(78, 74, 52), (23, 25, 25)]"
60,"(125, 138, 141)","[(122, 125, 126), (24, 27, 24), (20, 76, 58)]"
61,"(115, 116, 108)","[(87, 94, 94), (35, 38, 36), (107, 109, 110), (137, 141, 130)]"
62,"(16, 25, 30)","[(58, 67, 68), (32, 38, 40), (52, 28, 36), (155, 175, 192), (84, 95, 98)]"
63,"(87, 109, 121)","[(133, 107, 96), (27, 37, 41), (68, 69, 87), (53, 63, 67)]"
64,"(144, 164, 169)","[(164, 147, 117), (75, 82, 76)]"
65,"(71, 85, 87)","[(59, 60, 56), (98, 103, 96), (86, 104, 118)]"
66,"(46, 63, 117)","[(196, 201, 191)]"
67,"(163, 160, 152)","[(4, 23, 2), (61, 63, 63), (216, 217, 204)]"
68,"(123, 116, 104)","[(11, 20, 21), (91, 67, 37), (51, 58, 59)]"
69,"(30, 73, 70)","[(81, 71, 60)]"
70,"(55, 54, 49)","[(164, 160, 147), (56, 53, 45), (212, 207, 220), (21, 28, 19), (115, 120, 119), (16, 20, 20), (44, 42, 33)]"
71,"(173, 165, 149)","[(86, 89, 81), (155, 155, 144), (15, 16, 10), (94, 89, 77)]"
72,"(9, 25, 45)","[(64, 84, 96), (152, 133, 114)]"
73,"(81, 81, 72)","[(117, 114, 100), (83, 83, 70), (139, 156, 192), (35, 38, 35), (72, 74, 69), (4, 11, 7), (70, 79, 72)]"
